longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-1.3273137503741952,1.0517172634499063,0.9821633124298519,880.0,129.0,322.0,126.0,8.3252,452600.0,False,False,True,False
-1.322322556990924,1.0423552622470444,-0.606210165496261,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,False,False,True,False
-1.332304943757459,1.0376742616456152,1.8557687252892139,1467.0,190.0,496.0,177.0,7.2574,352100.0,False,False,True,False
-1.33729613714073,1.0376742616456152,1.8557687252892139,1274.0,235.0,558.0,219.0,5.6431,341300.0,False,False,True,False
-1.33729613714073,1.0376742616456152,1.8557687252892139,1627.0,280.0,565.0,259.0,3.8462,342200.0,False,False,True,False
-1.33729613714073,1.0376742616456152,1.8557687252892139,919.0,213.0,413.0,193.0,4.0368,269700.0,False,False,True,False
-1.33729613714073,1.0329932610441857,1.8557687252892139,2535.0,489.0,1094.0,514.0,3.6591,299200.0,False,False,True,False
-1.33729613714073,1.0329932610441857,1.8557687252892139,3104.0,687.0,1157.0,647.0,3.12,241400.0,False,False,True,False
-1.3422873305240008,1.0329932610441857,1.0615819863261575,2555.0,665.0,1206.0,595.0,2.0804,226700.0,False,False,True,False
-1.33729613714073,1.0329932610441857,1.8557687252892139,3549.0,707.0,1551.0,714.0,3.6912,261100.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,2202.0,434.0,910.0,402.0,3.2031,281500.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,3503.0,752.0,1504.0,734.0,3.2705,241800.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,2491.0,474.0,1098.0,468.0,3.075,213500.0,False,False,True,False
-1.3422873305240008,1.0329932610441857,1.8557687252892139,696.0,191.0,345.0,174.0,2.6736,191300.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.8557687252892139,2643.0,626.0,1212.0,620.0,1.9167,159200.0,False,False,True,False
-1.3422873305240008,1.0376742616456152,1.6969313774966026,1120.0,283.0,697.0,264.0,2.125,140000.0,False,False,True,False
-1.3472785239072649,1.0376742616456152,1.8557687252892139,1966.0,347.0,793.0,331.0,2.775,152500.0,False,False,True,False
-1.3472785239072649,1.0376742616456152,1.8557687252892139,1228.0,293.0,648.0,303.0,2.1202,155500.0,False,False,True,False
-1.3422873305240008,1.0329932610441857,1.6969313774966026,2239.0,455.0,990.0,419.0,1.9911,158700.0,False,False,True,False
-1.3472785239072649,1.0329932610441857,1.8557687252892139,1503.0,298.0,690.0,275.0,2.6033,162900.0,False,False,True,False
